left	over	r	1.000000
กรกฎาคม	ถ	ง	1.000000
ง	ชนะ	น	1.000000
ง	ท	น	0.428571
ง	ม	ช	1.000000
ง	เช	น	1.000000
ป	น	ม	0.200000
ป	น	ค	0.160000
ม	ท	ด	0.666667
ย	เช	น	1.000000
อ	น	ๆ	0.636364
อ	บน	อ	1.000000
อ	ลบ	ม	0.800000
อ	ส	ม	0.600000
า	ค	อ	1.000000
า	ช	น	0.600000
เมตร	ส	ง	1.000000
